语料,分,建议,赞,分类,理由,来源,url,备注
才六年级？那就迷茫吧，那就不想活吧，反正之后你还有很多事让你这样，你顶多十几岁吧，大约是十一二岁，你要记住你在以后要经历很多很多事，小学已经算是好的，你上了高三初三了你就直接试试吧,84,留,0,G 高风险,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=3387562817,
我真的好焦虑啊 我想快点睡 我睡不着 我的脸色越来越差 好累啊,82,留,0,C 疲惫 / 撑不住,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=3372565583,
我每天特别焦虑，今天请假刚回家，我爸一直问我到底怎么了，让我说原因，可是真的很烦啊，不想提这些，早知道我不回来了[哭哭],81,留,1,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
我有时候孤独的想哭，这个世界上我的朋友很多，但是没有人听我喜欢的歌，没有人理解我在想什么。人们来来往往，我笑着和他们挥手，心里却空落落的。,78,留,461,D 孤独 / 没人,,网易云《我不难过 (Live)》,https://music.163.com/#/song?id=34200624,
我害怕，终有一天我如词里写的那样无助，或许，不再相见是最好的选择吧，或许，不再打扰是最好的祝福吧,78,留,205,D 孤独 / 没人,,网易云《想哭》,https://music.163.com/#/song?id=65360,
特别喜欢这版，有种看透人生的超然感，我每次听的时候都告诉自己，活着是为了像蝴蝶一样来又去，不要害怕犯错，野蛮生长，跌倒哭泣大笑，去体验人生吧,77,留,3033,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=2140084005,
我好累asen哥我不知道以后要怎么走[唉],77,留,2,C 疲惫 / 撑不住,,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
我很害怕我把我们的关系一下就结束了 眼泪说来就来 那我怎么当着你的面呢 后面怎么和好了？我也不知道 因为我想我们的裂缝我永远记得 因为我怕再次碎开 后来也有过吧 我们分开了 不在同一所学校 看着你每天从学校回来对我的诉苦 我感觉好无助啊 为什么我帮不了你呢？为什么我不能帮你分担呢 我也好难,76,留,2,D 孤独 / 没人,,网易云《别难过》,https://music.163.com/#/song?id=3353686466,
真的不理解为什么不能多理解理解我呢 难道把我逼到焦虑症还不够吗 非得要把我逼到绝路吗 成绩真的比我还有重要吗😦,75,留,2,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=34142597,
没人懂那句“有我呢”感觉很有安全感然后后面就是“你说你没有安全感”愣了一下[装可爱]好喜欢这句,75,留,0,D 孤独 / 没人,,网易云《有我呢》,https://music.163.com/#/song?id=1400259397,
