语料,分,建议,赞,分类,理由,来源,url,备注
2026.9.19 我睡在宿舍的床上想了很多 怕自己读书出去没出息 学费贵贵的 怕自己一个月拿死工资怕自己没本事别人嘲笑我的父母 好像自己的运气永远比别人差一点 狠自己初中的不懂事 人这一生总是在后悔 如果有后悔药就好了可是没有后悔药,48,删,3,A 被否定 / 失败,,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
后来知道了原来在十八岁之前不读书靠自己什么都做不了 在感情上搞的一塌糊涂 在自己的前途和以后的路走的一塌糊涂 祝你们有书读的前程似锦 还有就是祝自己在最后一个未成年的年里继续更够体验小孩的快乐,48,删,1,F 迷茫 / 年龄焦虑,,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
你欠我一个叫林菲的孩子还有带书房的小家。说好了要带我回湛江的，你还没给大家介绍林家的媳妇，我还没尝过你妈妈做的菜。你说过会带我去吃湛江大排档的羊肉煲，要带我去看你最爱的那片海，要买情侣装穿。我们还没有去澳门。你不是说过会等我毕业然后结婚的吗。你欠我那么多，怎么可以不兑现就离开。,46,删,55042,B 失去 / 离别,,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
一个人为了男友来到新疆 今天发烧 38°多 咳嗽的血丝都有 给他发讯息 他没能回我 也没来接我 蹲在门诊门口 哭了半小时 很俗的一句话：原来，我做了这么多，感动的只是我自己罢了 明天回台州 我要很幸福！！,46,删,23965,D 孤独 / 没人,,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
1http:/$iqEFni30ae5781$【復淛整段文案并咑閞「网易云音乐」，领免费会员】 黑胶邀请官 荀***2 送你网易云音乐9月黑胶会员卡，领取享20+会员权益。https://163cn.tv/be9dnUZ6,44,删,0,Z 其他,,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
不禁你歌，是国家对你才华的认可，不让你复出，是国家对人民的交待。 光是你吸毒的2016年，牺牲的缉毒警察就有362名，缉毒警察属于和平年代最具风险的职业，也是死亡人数最多的高危行业，牺牲年龄平均41，最小18岁，生前不能露面，死后不能立碑。 誓与黄赌毒不共戴天。,40,删,39131,F 迷茫 / 年龄焦虑,,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
我也这样想的,40,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
每天一遍🦓,34,删,2,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
主页有会员,34,删,1,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
不要远嫁😑,34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
