语料,分,建议,赞,分类,理由,来源,url,备注
能抱抱我吗 我真的快碎掉了  ⇒  我也快要碎掉了，我好难过，我来抱抱你吧，我好难过啊我真的好难过，我抱抱你，我们一起抱抱,96,留,0,C 疲惫 / 撑不住,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=,安慰语命中
女士们，先生们，列车运行前方就要到达本次列车的终点站了，请您整理好行李物品等候下车，下车时请注意列车与站台的间隙，照顾好老人和小朋友，防止发生意外。在您起身离位时，请将座椅靠背、小桌板、脚踏板，及时复位，谢谢合作！欢迎您再次乘坐中国铁路西安局集团有限公司动车组列车，下次旅行再会。  ⇒  我就是在找你这条评论哈哈哈哈,90,留,1,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=,
希望我能从广州就医活着回来  ⇒  加油呢，你在哪个医院呀我在佛山离的蛮近的说不定工作完能看看你,86,留,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,安慰语命中
爱情都是毒鸡汤 没有命 就别玩  ⇒  可是啊 可是在这个快餐时代里 谁又愿意陪你慢慢来呢[多多大哭],86,留,0,F 迷茫 / 年龄焦虑,,网易云《加油》,https://music.163.com/#/song?id=,安慰语命中
重新认识一个人好累 我懒得再跟别人一遍遍说我是谁，我的名字，我的生日在哪天，我爱看的电影，我害怕的事情，曾经热爱但放弃的事物，我去过的城市，独处时我会听的歌，我的小癖好和特别的习惯，我对生活的看法和态度，我对爱和生命的理解… 我懒得说了，也懒得重新认识别人，就连打这段字我都觉得累了  ⇒  抱抱呢，觉得累了就休息一下吧[多多比耶],86,留,0,C 疲惫 / 撑不住,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=,安慰语命中
兄弟曲面文学  ⇒  我超哈哈哈哈哈哈,86,留,0,Z 其他,,网易云《爱欲求》,https://music.163.com/#/song?id=,
“觉得激动便流泪 碰上了花蜜便陶醉 活着是为了像蝴蝶来又去”这句真是每次听都有一种被神秘力量拍了天灵盖般的清醒 啊活着其实很好再吃一颗苹果🍗  ⇒  老师今年新出了alive哈哈哈我觉得真正活着的人都会出类似主题的歌的 我都好喜欢💕,83,留,1,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
就算你被世界抛弃了，那还有太阳系呢，还有银河系呢[抱抱你]  ⇒  好呀呢。我知道啦。希望你开心呀,83,留,0,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=,
因为看到朋友圈有人发南神，突然间想过来听了。耳机里放着，然后慢悠悠的跟旧友聊着天。和许久未见的朋友聊到彼此的样子是否发生改变，我说我今天刷到一句话，你认识那个人是多少岁那个人在你心里就永远多少岁。然后我们两个人就无尽感慨，耳机里刚好放到那一句 “那时间 时间 时间 把我丢到回忆旁边”  ⇒  我真的要哭了，我真的好想你们呀。,81,留,2,Z 其他,,网易云《我有点焦虑》,https://music.163.com/#/song?id=,
失眠和睡眠有什么区别呢 失眠的拼音是：shi mian 睡眠的拼音是：shui mian 失眠的拼音比睡眠的拼音少了个u u在英语可以表示you 所以少了个you就会失眠[哭哭]  ⇒  陪我久一点吧 我身边没有人可以陪我了。其实我好难过，我把你弄丢了，我好后悔，我不该作，我以后再也不作了，你还能回来吗？我只是想让你陪我打游戏而已，我真的有那么菜吗？,81,留,1,F 迷茫 / 年龄焦虑,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,
我真的是受不了了，不想读高三  ⇒  我每天特别焦虑，今天请假刚回家，我爸一直问我到底怎么了，让我说原因，可是真的很烦啊，不想提这些，早知道我不回来了[哭哭],81,留,1,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
高三 压力大 失眠 家庭 好累 好想哭  ⇒  抱抱 想哭就哭 憋在心里很难受[难过]心疼你呀,81,留,0,C 疲惫 / 撑不住,,网易云《有我呢》,https://music.163.com/#/song?id=,安慰语命中
我跟前女友一起看的夏日重现，我们一起看到了14集，当时想看15集没有熟肉，她会一点日语，对着平板她一句一句翻译给我听，我真的觉得很幸福很幸福。我们在我生日的那天分手了，我也不敢看完夏日重现。  ⇒  是时候放手了兄弟去看看吧结局看完就没什么了[抱抱你],81,留,0,B 失去 / 离别,,网易云《失恋ソング沢山聴いて 泣いてばかりの私はもう。》,https://music.163.com/#/song?id=,安慰语命中
当年在学校最吊的就是有一双，谢霆锋代言的特步红色烽火鞋，特别吊！吊的飞起！  ⇒  特步，非一般的感觉哈哈哈，这个广告词当年火到绝了,81,留,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
爱弥斯，我只希望，你能轻松快乐的活着  ⇒  哪有什么旅途愉快，即使过去了这么久，我还是无法忘记你离开我的那一刻 我真的真的好想你,80,留,0,B 失去 / 离别,,网易云《别难过》,https://music.163.com/#/song?id=,
有人觉得这首给人一种上个年代的感觉吗？  ⇒  哈哈哈哈哈哈 你不是一个人,80,留,0,D 孤独 / 没人,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=,安慰语命中
