语料,分,建议,赞,分类,理由,来源,url,备注
我也快要碎掉了，我好难过，我来抱抱你吧，我好难过啊我真的好难过，我抱抱你，我们一起抱抱,96,留,0,C 疲惫 / 撑不住,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=26093064,
哎，这是自暴自弃了吗，23号考雅思，可是我现在一点也不想学了，天天天天除了英语就是英语，可是我还得出国呀，我还得去新加坡读研啊，加油吧,90,留,26949,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
“若我的心事纯如白雪，可不可跟老朋友天真抱抱” 换句话说其实就是“倘若我问心有愧呢”,89,留,0,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=288289,
加油呢，你在哪个医院呀我在佛山离的蛮近的说不定工作完能看看你,86,留,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=2140084005,
可是啊 可是在这个快餐时代里 谁又愿意陪你慢慢来呢[多多大哭],86,留,0,F 迷茫 / 年龄焦虑,,网易云《加油》,https://music.163.com/#/song?id=34142597,
抱抱呢，觉得累了就休息一下吧[多多比耶],86,留,0,C 疲惫 / 撑不住,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=3387562817,
真的想谈恋爱 和一个并不美丽却很温柔很安静的女生 去和她一起看海 在大雨淹没城市的时候和她相拥 用自己最平静的声音在她耳边说出“我懂 我懂 我爱你” 真的想对一个人说出我爱你,84,留,2,D 孤独 / 没人,,网易云《关于我爱你》,https://music.163.com/#/song?id=27598340,
ksy，我可不可以抱抱你,82,留,2,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=288289,
是时候放手了兄弟去看看吧结局看完就没什么了[抱抱你],81,留,0,Z 其他,,网易云《失恋ソング沢山聴いて 泣いてばかりの私はもう。》,https://music.163.com/#/song?id=1962373924,
能抱抱我吗 我真的快碎掉了,80,留,20491,C 疲惫 / 撑不住,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=26093064,
每次听这歌都有被摸摸头要乖乖的感觉,80,留,9874,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
“可不可跟老朋友天真抱抱”，或许你不知道最后见面那天说再见的时候我是多么想上前拥抱一次的,80,留,12,F 迷茫 / 年龄焦虑,,网易云《抱抱》,https://music.163.com/#/song?id=288289,
加油呀，加油呀哈哈[大笑]哈哈哈哈哈哈,80,留,1,Z 其他,,网易云《加油鸭》,https://music.163.com/#/song?id=1966161641,
哈哈哈哈哈哈 你不是一个人,80,留,0,D 孤独 / 没人,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=3407803347,
和妈妈吵架了就摸摸肚脐 那是和妈妈曾经相连的地方,76,留,642050,Z 其他,,网易云《MOM》,https://music.163.com/#/song?id=1387581250,
²⁰²⁶/₁.₁ ᵕ̈ 新的一年 颜仲瑄 请继续做我的幸运符 [抱抱你],76,留,242,Z 其他,,网易云《藏不住》,https://music.163.com/#/song?id=3334618938,
